"","Country","Region","ISO"
"1","Armenia","USSR","ARM"
"2","Afghanistan","ASIA","AFG"
"3","Albania","EUROPE","ALB"
"4","Algeria","WANA","DZA"
"5","Angola","AFRICA, SUB-SAHARA","AGO"
"6","Argentina","AMERICA, LAC","ARG"
"7","Australia","OCEANIA","AUS"
"8","Austria","EUROPE","AUT"
"9","Bahamas","AMERICA, LAC","BHS"
"10","Bahrain","WANA","BHR"
"12","Bangladesh","ASIA","BGD"
"13","Bhutan","ASIA","BTN"
"14","Bolivia (Plurinational State of)","AMERICA, LAC","BOL"
"15","Botswana","AFRICA, SUB-SAHARA","BWA"
"16","Brazil","AMERICA, LAC","BRA"
"17","Belize","AMERICA, LAC","BLZ"
"18","Solomon Islands","ASIA","SLB"
"19","Brunei Darussalam","ASIA","BRN"
"20","Bulgaria","EUROPE","BGR"
"21","Myanmar","ASIA","MMR"
"22","Burundi","AFRICA, SUB-SAHARA","BDI"
"23","Cameroon","AFRICA, SUB-SAHARA","CMR"
"24","Canada","AMERICA, NORTH","CAN"
"25","Cabo Verde","AFRICA, SUB-SAHARA","CPV"
"26","Central African Republic","AFRICA, SUB-SAHARA","CAF"
"27","Sri Lanka","ASIA","LKA"
"28","Chad","AFRICA, SUB-SAHARA","TCD"
"29","Chile","AMERICA, LAC","CHL"
"31","Colombia","AMERICA, LAC","COL"
"32","Comoros","AFRICA, SUB-SAHARA","COM"
"33","Congo","AFRICA, SUB-SAHARA","COG"
"34","Costa Rica","AMERICA, LAC","CRI"
"35","Cuba","AMERICA, LAC","CUB"
"36","Cyprus","EUROPE","CYP"
"38","Azerbaijan","USSR","AZE"
"39","Benin","AFRICA, SUB-SAHARA","BEN"
"40","Denmark","EUROPE","DNK"
"41","Dominican Republic","AMERICA, LAC","DOM"
"42","Belarus","USSR","BLR"
"43","Ecuador","AMERICA, LAC","ECU"
"44","Egypt","WANA","EGY"
"45","El Salvador","AMERICA, LAC","SLV"
"46","Equatorial Guinea","AFRICA, SUB-SAHARA","GNQ"
"48","Estonia","USSR","EST"
"49","Fiji","ASIA","FJI"
"50","Finland","EUROPE","FIN"
"51","France","EUROPE","FRA"
"52","French Guyana","AMERICA, LAC","GUF"
"53","Djibouti","AFRICA, SUB-SAHARA","DJI"
"54","Georgia","USSR","GEO"
"55","Gabon","AFRICA, SUB-SAHARA","GAB"
"56","Gambia","AFRICA, SUB-SAHARA","GMB"
"57","Germany","EUROPE","DEU"
"58","Bosnia and Herzegovina","EUROPE","BIH"
"59","Ghana","AFRICA, SUB-SAHARA","GHA"
"60","Greece","EUROPE","GRC"
"61","Guatemala","AMERICA, LAC","GTM"
"62","Guinea","AFRICA, SUB-SAHARA","GIN"
"63","Guyana","AMERICA, LAC","GUY"
"64","Haiti","AMERICA, LAC","HTI"
"65","Honduras","AMERICA, LAC","HND"
"66","Hungary","EUROPE","HUN"
"67","Croatia","EUROPE","HRV"
"68","Iceland","EUROPE","ISL"
"69","India","ASIA","IND"
"70","Indonesia","ASIA","IDN"
"71","Iran (Islamic Republic of)","WANA","IRN"
"72","Iraq","WANA","IRQ"
"73","Ireland","EUROPE","IRL"
"74","Israel","WANA","ISR"
"75","Italy","EUROPE","ITA"
"76","Côte d'Ivoire","AFRICA, SUB-SAHARA","CIV"
"77","Kazakhstan","USSR","KAZ"
"78","Jamaica","AMERICA, LAC","JAM"
"79","Japan","ASIA","JPN"
"80","Jordan","WANA","JOR"
"81","Kyrgyzstan","USSR","KGZ"
"82","Kenya","AFRICA, SUB-SAHARA","KEN"
"83","Cambodia","ASIA","KHM"
"84","Democratic People's Republic of Korea","ASIA","PRK"
"85","Republic of Korea","ASIA","KOR"
"86","Kuwait","WANA","KWT"
"87","Latvia","USSR","LVA"
"88","Lao People's Democratic Republic","ASIA","LAO"
"89","Lebanon","WANA","LBN"
"90","Lesotho","AFRICA, SUB-SAHARA","LSO"
"91","Liberia","AFRICA, SUB-SAHARA","LBR"
"92","Libya","WANA","LBY"
"93","Lithuania","USSR","LTU"
"94","Madagascar","AFRICA, SUB-SAHARA","MDG"
"95","Malawi","AFRICA, SUB-SAHARA","MWI"
"96","Malaysia","ASIA","MYS"
"97","Mali","AFRICA, SUB-SAHARA","MLI"
"98","Malta","EUROPE","MLT"
"99","Mauritania","AFRICA, SUB-SAHARA","MRT"
"100","Mauritius","AFRICA, SUB-SAHARA","MUS"
"101","Mexico","AMERICA, LAC","MEX"
"102","Mongolia","ASIA","MNG"
"103","Morocco","WANA","MAR"
"104","Mozambique","AFRICA, SUB-SAHARA","MOZ"
"105","Republic of Moldova","USSR","MDA"
"106","Namibia","AFRICA, SUB-SAHARA","NAM"
"107","Nepal","ASIA","NPL"
"108","Netherlands","EUROPE","NLD"
"109","New Caledonia","ASIA","NCL"
"110","North Macedonia","EUROPE","MKD"
"111","Vanuatu","ASIA","VUT"
"112","New Zealand","OCEANIA","NZL"
"113","Nicaragua","AMERICA, LAC","NIC"
"114","Niger","AFRICA, SUB-SAHARA","NER"
"115","Nigeria","AFRICA, SUB-SAHARA","NGA"
"116","Norway","EUROPE","NOR"
"117","Pakistan","ASIA","PAK"
"118","Panama","AMERICA, LAC","PAN"
"119","Czechia","EUROPE","CZE"
"120","Papua New Guinea","ASIA","PNG"
"121","Paraguay","AMERICA, LAC","PRY"
"122","Peru","AMERICA, LAC","PER"
"123","Philippines","ASIA","PHL"
"124","Poland","EUROPE","POL"
"125","Portugal","EUROPE","PRT"
"126","Guinea-Bissau","AFRICA, SUB-SAHARA","GNB"
"127","Timor-Leste","ASIA","TLS"
"128","Puerto Rico","AMERICA, LAC","PRI"
"129","Eritrea","AFRICA, SUB-SAHARA","ERI"
"130","Qatar","WANA","QAT"
"131","Zimbabwe","AFRICA, SUB-SAHARA","ZWE"
"132","Réunion","AFRICA, SUB-SAHARA","REU"
"133","Romania","EUROPE","ROU"
"134","Rwanda","AFRICA, SUB-SAHARA","RWA"
"135","Russian Federation","USSR","RUS"
"136","Serbia and Montenegro","EUROPE","SCG"
"137","Sao Tome and Principe","AFRICA, SUB-SAHARA","STP"
"138","Saudi Arabia","WANA","SAU"
"139","Senegal","AFRICA, SUB-SAHARA","SEN"
"140","Seychelles","AFRICA, SUB-SAHARA","SYC"
"141","Sierra Leone","AFRICA, SUB-SAHARA","SLE"
"142","Slovenia","EUROPE","SVN"
"143","Slovakia","EUROPE","SVK"
"144","Singapore","ASIA","SGP"
"145","Somalia","AFRICA, SUB-SAHARA","SOM"
"146","South Africa","AFRICA, Developed","ZAF"
"147","Spain","EUROPE","ESP"
"149","Suriname","AMERICA, LAC","SUR"
"150","Tajikistan","USSR","TJK"
"151","Eswatini","AFRICA, SUB-SAHARA","SWZ"
"152","Sweden","EUROPE","SWE"
"153","Switzerland","EUROPE","CHE"
"154","Syrian Arab Republic","WANA","SYR"
"155","Turkmenistan","USSR","TKM"
"156","China, Taiwan Province of","ASIA","TWN"
"157","United Republic of Tanzania","AFRICA, SUB-SAHARA","TZA"
"158","Thailand","ASIA","THA"
"159","Togo","AFRICA, SUB-SAHARA","TGO"
"160","Trinidad and Tobago","AMERICA, LAC","TTO"
"161","Oman","WANA","OMN"
"162","Tunisia","WANA","TUN"
"163","Turkey","WANA","TUR"
"164","United Arab Emirates","WANA","ARE"
"165","Uganda","AFRICA, SUB-SAHARA","UGA"
"167","United Kingdom of Great Britain and Northern Ireland","EUROPE","GBR"
"168","Ukraine","USSR","UKR"
"169","United States of America","AMERICA, NORTH","USA"
"170","Burkina Faso","AFRICA, SUB-SAHARA","BFA"
"171","Uruguay","AMERICA, LAC","URY"
"172","Uzbekistan","USSR","UZB"
"173","Venezuela (Bolivarian Republic of)","AMERICA, LAC","VEN"
"174","Viet Nam","ASIA","VNM"
"175","Ethiopia","AFRICA, SUB-SAHARA","ETH"
"177","Yemen","WANA","YEM"
