X,CountryCode,GTAPCode81,GTAPCode9,GTAPDescription
Albania,ALB,ALB,ALB,Albania
United Arab Emirates,ARE,ARE,ARE,United Arab Emirates
Argentina,ARG,ARG,ARG,Argentina
Armenia,ARM,ARM,ARM,Armenia
Australia,AUS,AUS,AUS,Australia
Cocos (Keeling) Islands,CCK,AUS,AUS,Australia
Christmas Island,CXR,AUS,AUS,Australia
Heard Island and McDonald Islands,HMD,AUS,AUS,Australia
Norfolk Island,NFK,AUS,AUS,Australia
Austria,AUT,AUT,AUT,Austria
Azerbaijan,AZE,AZE,AZE,Azerbaijan
Belgium,BEL,BEL,BEL,Belgium
Benin,BEN,BEN,BEN,Rest of Western Africa
Burkina Faso,BFA,BFA,BFA,Rest of Western Africa
Bangladesh,BGD,BGD,BGD,Bangladesh
Bulgaria,BGR,BGR,BGR,Bulgaria
Bahrain,BHR,BHR,BHR,Bahrain
Belarus,BLR,BLR,BLR,Belarus
"Bolivia, Plurinational Republic of",BOL,BOL,BOL,"Bolivia, Plurinational Republic of"
Brazil,BRA,BRA,BRA,Brazil
Botswana,BWA,BWA,BWA,Botswana
Canada,CAN,CAN,CAN,Canada
Switzerland,CHE,CHE,CHE,Switzerland
Chile,CHL,CHL,CHL,Chile
China,CHN,CHN,CHN,China
Cote d'Ivoire,CIV,CIV,CIV,Cote d'Ivoire
Cameroon,CMR,CMR,CMR,Cameroon
Colombia,COL,COL,COL,Colombia
Costa Rica,CRI,CRI,CRI,Costa Rica
Cyprus,CYP,CYP,CYP,Cyprus
Czech Republic,CZE,CZE,CZE,Czech Republic
Germany,DEU,DEU,DEU,Germany
Denmark,DNK,DNK,DNK,Denmark
Ecuador,ECU,ECU,ECU,Ecuador
Egypt,EGY,EGY,EGY,Egypt
Spain,ESP,ESP,ESP,Spain
Estonia,EST,EST,EST,Estonia
Ethiopia,ETH,ETH,ETH,Ethiopia
Finland,FIN,FIN,FIN,Finland
Aland Islands,ALA,FIN,FIN,Finland
France,FRA,FRA,FRA,France
Guadeloupe,GLP,FRA,FRA,France
Martinique,MTQ,FRA,FRA,France
Reunion,REU,FRA,FRA,France
United Kingdom,GBR,GBR,GBR,United Kingdom
Georgia,GEO,GEO,GEO,Georgia
Ghana,GHA,GHA,GHA,Ghana
Guinea,GIN,GIN,GIN,Rest of Western Africa
Greece,GRC,GRC,GRC,Greece
Guatemala,GTM,GTM,GTM,Guatemala
